date,timestamp,container name,processor/gpu name,core/gpu count,max usage (%),max gpu temperature (C),max pwr:usage/cap (%),max vram usage (%),startup time (s),task time (s),shutdown time (s),total time (s),cpu usage (%),memory usage (MB)
2025-04-18,15:20:09,whisper-tiny_en-ubi9_harvard_cpu_fast,NVIDIA L4,24,0,32,15.97,0.0,1.9073486328125e-06,0,0.062358856201171875,0.062358856201171875,20.2,3407.5
2025-04-18,15:20:10,whisper-tiny_en-ubi9_harvard_gpu_complex-gpu1,NVIDIA L4,24,0,32,15.97,0.0,9.5367431640625e-07,0,0.09111189842224121,0.09111189842224121,67.7,3837.73
2025-04-18,15:20:10,whisper-tiny_en-ubi9_jfk-audio-inaugural-address-20-january-1961_cpu_complex,NVIDIA L4,24,0,32,15.97,0.0,7.152557373046875e-07,0,0.059229373931884766,0.059229373931884766,84.3,4081.61
2025-04-18,15:20:10,whisper-tiny_en-ubi9_jfk-audio-inaugural-address-20-january-1961_gpu_complex-gpu3,NVIDIA L4,24,0,32,15.97,0.0,9.5367431640625e-07,0,0.057740211486816406,0.057740211486816406,24.7,4315.29
2025-04-18,15:20:11,whisper-tiny_en-ubi9_jfk-audio-rice-university-12-september-1962_cpu_fast,NVIDIA L4,24,0,32,16.18,0.0,7.152557373046875e-07,0,0.0570065975189209,0.0570065975189209,6.1,4467.55
2025-04-18,15:20:11,whisper-tiny_en-ubi9_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,NVIDIA L4,24,0,32,16.18,0.0,4.76837158203125e-07,0,0.057767391204833984,0.057767391204833984,14.2,4627.55
2025-04-18,15:20:12,whisper-tiny_en-ubi9_harvard_cpu_complex,NVIDIA L4,24,0,32,18.99,0.01,4.76837158203125e-07,0,0.1708664894104004,0.1708664894104004,16.6,5547.72
2025-04-18,15:20:12,whisper-tiny_en-ubi9_harvard_gpu_fast-gpu0,NVIDIA L4,24,0,32,22.21,0.01,9.5367431640625e-07,0,0.05936741828918457,0.05936741828918457,25.5,6704.77
2025-04-18,15:20:12,whisper-tiny_en-ubi9_jfk-audio-rice-university-12-september-1962_cpu_complex,NVIDIA L4,24,0,32,22.21,0.01,7.152557373046875e-07,0,0.05843496322631836,0.05843496322631836,22.3,7954.55
2025-04-18,15:20:13,whisper-tiny_en-ubi9_jfk-audio-rice-university-12-september-1962_gpu_complex-gpu1,NVIDIA L4,24,0,32,22.21,0.01,1.1920928955078125e-06,0,0.05856728553771973,0.05856728553771973,20.5,9335.07
